trial_id,sample_index,t_s,rx_norm,temp_c,em_norm,vib_norm
SYN-001,0,0.0,0.076145,21.9985,-0.087953,0.127187
SYN-001,1,0.1005,0.348538,21.9827,0.052982,0.00742
SYN-001,2,0.20101,-0.239534,22.0058,-0.031723,0.036322
SYN-001,3,0.30151,-0.122221,22.0457,-0.030344,-0.034671
SYN-001,4,0.40201,-0.000778,21.9974,-0.063868,0.020322
SYN-001,5,0.50251,0.063156,22.0141,-0.066723,0.05854
SYN-001,6,0.60302,-0.050753,21.9731,0.008951,0.056123
SYN-001,7,0.70352,0.133799,22.0229,0.063211,0.007072
SYN-001,8,0.80402,0.020254,22.0308,0.030715,0.056489
SYN-001,9,0.90452,-0.147672,21.9843,-0.129403,-0.009633
SYN-001,10,1.00503,0.081089,21.9908,0.068711,-0.022966
SYN-001,11,1.10553,-0.064836,22.01,0.083307,-0.035454
SYN-001,12,1.20603,-0.085514,22.021,-0.042206,0.080548
SYN-001,13,1.30653,-0.043704,21.9842,-0.014417,-0.0113
SYN-001,14,1.40704,-0.121822,22.0374,0.011887,-0.045174
SYN-001,15,1.50754,0.118835,21.9837,0.031996,-0.00553
SYN-001,16,1.60804,0.16592,21.9672,-0.016572,0.022012
SYN-001,17,1.70854,-0.147074,21.985,0.003537,0.023756
SYN-001,18,1.80905,0.023836,21.9569,0.052811,-0.029882
SYN-001,19,1.90955,0.164307,22.0503,-0.051513,0.029266
SYN-001,20,2.01005,0.089399,22.008,0.022976,-0.020051
SYN-001,21,2.11055,0.108015,22.0026,-0.025711,0.040137
SYN-001,22,2.21106,-0.289697,22.0223,0.076578,-0.01849
SYN-001,23,2.31156,0.043297,21.9687,0.01132,0.013071
SYN-001,24,2.41206,-0.087045,21.9586,-0.0818,-0.080986
SYN-001,25,2.51256,-0.129538,21.9928,0.031047,0.075606
SYN-001,26,2.61307,-0.066654,21.9892,-0.022543,0.034154
SYN-001,27,2.71357,-0.059998,22.0017,-0.073559,0.064473
SYN-001,28,2.81407,-0.089433,21.9788,0.091074,-0.047535
SYN-001,29,2.91457,-0.048997,22.0027,0.036352,0.022343
SYN-001,30,3.01508,0.012824,22.0017,0.055616,-0.047842
SYN-001,31,3.11558,0.120562,21.9511,-0.007565,-0.019565
SYN-001,32,3.21608,0.124785,22.0238,0.040881,-0.056291
SYN-001,33,3.31658,0.11739,22.011,0.006578,-0.060904
SYN-001,34,3.41709,0.011524,22.022,-0.027316,0.081898
SYN-001,35,3.51759,-0.220216,22.0123,-0.00796,0.00833
SYN-001,36,3.61809,0.092462,22.044,-0.06863,0.050379
SYN-001,37,3.71859,-0.02168,22.0406,-0.055249,-0.027068
SYN-001,38,3.8191,-0.058821,22.0102,-0.094684,-0.006203
SYN-001,39,3.9196,-0.146507,21.9754,-0.00138,-0.075589
SYN-001,40,4.0201,-0.026458,21.9699,-0.023443,0.103061
SYN-001,41,4.1206,-0.067223,22.0373,-0.007861,-0.042505
SYN-001,42,4.22111,-0.143169,22.0503,0.027928,0.029658
SYN-001,43,4.32161,-0.085083,21.9927,0.001366,-0.001158
SYN-001,44,4.42211,0.036526,22.0423,0.048369,0.027789
SYN-001,45,4.52261,0.003856,21.9676,-0.05487,-0.006888
SYN-001,46,4.62312,-0.042435,22.0212,0.003677,0.06215
SYN-001,47,4.72362,-0.022245,21.9445,0.008613,-0.044329
SYN-001,48,4.82412,0.037584,22.0642,0.03896,0.012507
SYN-001,49,4.92462,-0.037359,22.0152,-0.023754,0.008184
SYN-001,50,5.02513,0.236049,22.0215,-0.030649,-0.105864
