trial_id,condition_code,challenge_bits,challenge_commitment,decoded_response,hamming_distance,bit_accuracy,exact_match,receiver_correlation,telemetry_flag,t_arm_utc,t_close_utc
SYN-001,BLOCKED,00110111110100111000100100110000110111100110100110000001000101010111000101010111100100011110111011101001111110101011011111110111,9b3d9f125d43d333834980cc66ca0b3cbb034033307d509c2c46ca97c05ba875,10010111011001111100011000110100011000111000010000111000011111010001010100010111000100100111100101001110110110111110110010001000,63,0.507812,False,0.04145,False,2026-09-19T15:00:00+00:00,2026-09-19T15:00:30+00:00
SYN-002,PASSIVE,01011111011001001101100101101000110110001000000010101010100001111111111111001100011111001110010111111100011000100010000001000110,a83417a27d4d9afbfeee9171dc715a711bac22ebe9e10edf59bfcb296e994f62,11110101001010011101100100000110110001100011101011010000000011100101100011000101001010111100011001011100100011100000111000101101,61,0.523438,False,0.09033,False,2026-09-19T15:00:40+00:00,2026-09-19T15:01:10+00:00
SYN-003,SHAM,10100101110001101100111011110000110101101100100110010000110100110110100110010011000011011010000001101001111010001100010100001101,65e506136e2b3058ad70af6cf12d56993bd4107f893b02095f4a347b5727af8f,00011101011010101010110111010000001010011001100100011101011010011111010000010100101110000101100001010110000010101101001001001101,66,0.484375,False,0.01915,False,2026-09-19T15:01:20+00:00,2026-09-19T15:01:50+00:00
SYN-004,PASSIVE,10001101101001111000010010100010000111111011111100000111111101011110101011100100100011101101011101110110100111110101010000111011,2ee70d372f57a6100ba2d3a00e733cbce2e78f8fb072e3bf3f862d466aacc152,10100110101110000011011000111110100101110101101000011100110111110000101101010111001011100110111100100110010000111110001000000101,63,0.507812,False,0.01935,False,2026-09-19T15:02:00+00:00,2026-09-19T15:02:30+00:00
SYN-005,PASSIVE,10111000010011100000000100111101110100010100010100101011010000011000110101001110111101010101000010011000001011101000010010111001,9b3673596c7005928c698be929c4cdaed0788343b69af9030ec1fe3f35df5cd1,01111010011010010010011010010100101100000010011001011010001111111010001000010001001010001000011101101001001111101001111111100010,70,0.453125,False,-0.05156,False,2026-09-19T15:02:40+00:00,2026-09-19T15:03:10+00:00
SYN-006,SHAM,00011000110000000111010100001111000111010010110000010111000100010110011011110101110010000101100000000101010111000001100000001001,758752045bb986896fa6f8cac1f7b4c5642e7f04d22eb52f07c8f208cad2dd5b,10111111101111100010110000110101010010110001111010001001101000010011011111011111000010110100000111101100110001111000111101110110,69,0.460938,False,0.07956,False,2026-09-19T15:03:20+00:00,2026-09-19T15:03:50+00:00
SYN-007,POSITIVE,00001100110101100000110111001101111011011011101000000011110011111111010110101111111110000011111110100110000001101010001001110101,bbf526339ad64740081f93c8f993204f6cd72d948618236f53e95a9ae9986851,00001100110101100000110111001101111011011011101000000011110011111111010110101111111110000011111110100110000001101010001001110101,0,1.0,True,0.9711,False,2026-09-19T15:04:00+00:00,2026-09-19T15:04:30+00:00
SYN-008,SHAM,11110111000111100100011100010111010001001111110000101010011000101001011000111010011111111000100001010101010000000110100010011110,cc8c8d9610770382bf69884ef41d6d59da1b171765ff6fe916f16bd085d0e3a4,11101100000100010101101111001000110010001100111111010101010100011101101111111101010001101000110000110110101000100100010001011111,65,0.492188,False,0.06391,False,2026-09-19T15:04:40+00:00,2026-09-19T15:05:10+00:00
SYN-009,PASSIVE,00101010001111111011001010000111011001010101101000000000001111000010000001111001100100001111010010000100001110000101111001101100,9b3d385be13fc72a07cb545a8a7c7500ca28f1908ba1c7771d7898c5489c6181,00100111111100110010100011011101111010111000111100011000101110001010101001111111101001101111100001011101110010010010010010100011,60,0.53125,False,0.06251,False,2026-09-19T15:05:20+00:00,2026-09-19T15:05:50+00:00
SYN-010,POSITIVE,10001001111100110101111101010111101000011000011111110011101111001110100000100111001000110110111110001100110111111110000000011010,ce97d34234f5743fe935f14252d027da37b00d85d5d7f2fc92aa887cb1c070c7,10001001111100110111111101010111101000011000011111110011101111001110100000100111001001110110111110001100110111111110000000011010,2,0.984375,False,0.93829,True,2026-09-19T15:06:00+00:00,2026-09-19T15:06:30+00:00
